freshBlood,hotStreak,inactive,leaguePoints,losses,playerOrTeamId,playerOrTeamName,rank,veteran,wins,accountId,id
True,True,False,334,573,2759691,너와나의연결Gori,I,False,627,2139315,2759691
False,False,False,108,98,55060589,RVS Gori,I,False,166,207922335,55060589
True,False,False,0,1163,12172266,Alex1a,I,False,1204,7419934,12172266
False,False,False,60,808,5892222,갱꼬삼실화냐,I,False,859,4585020,5892222
True,False,False,33,926,2749828,Jin Air raise,I,False,935,2140699,2749828
False,False,False,178,398,46311009,아트가 앗뜨거,I,True,467,207769672,46311009
False,False,False,59,1044,53091092,Meow OuO,I,True,1114,208538232,53091092
False,False,False,41,199,16380488,오크족대표,I,False,303,201200763,16380488
True,False,False,0,297,26500547,C2eam,I,False,335,204079990,26500547
False,True,False,215,195,55081016,티깨비,I,False,285,208811635,55081016
False,False,False,96,670,8120770,칼날부리 친구들,I,True,708,5592043,8120770
False,False,False,0,1064,2116208,Felda,I,False,1097,1632810,2116208
False,False,False,31,64,25121454,야스오꼴픽박는다,I,False,120,203813652,25121454
False,False,False,83,120,62280147,Devastating,I,True,145,209603052,62280147
False,False,False,83,122,63140816,Savage,I,True,180,209692576,63140816
False,False,False,32,1176,54792651,이상호,I,True,1208,208648862,54792651
True,False,False,0,415,7403394,xiang jian ni,I,False,548,5122925,7403394
False,False,False,0,413,2026097,NewGlue,I,False,474,1499725,2026097
False,False,False,36,668,3851723,그리워 지친 날,I,False,705,2941842,3851723
True,True,False,0,994,1221679,Douglas Killer,I,False,1036,488193,1221679
False,False,False,136,250,29482811,010723,I,True,316,204710032,29482811
True,True,False,0,77,63730285,이석희 이색희,I,False,160,209748974,63730285
True,False,False,166,465,2716219,머리쿵헤쪄,I,False,516,2089570,2716219
False,False,False,81,197,7201519,BJ토마,I,True,280,5067916,7201519
True,True,False,0,9,61240928,Longzhu Crash,I,False,68,209531641,61240928
True,False,False,34,371,54980691,Hanabii,I,False,414,208752740,54980691
True,False,False,361,699,19421492,멘탈잡자으쌰으쌰,I,False,755,202440221,19421492
False,False,False,106,330,43920600,Tae nooh,I,False,371,207440298,43920600
False,False,False,148,100,37610260,kinopioyo1z,I,True,161,206305916,37610260
False,False,False,30,472,1113257,땅콩엿,I,False,553,719353,1113257
True,True,False,21,544,8239255,solo rank k,I,False,634,5797364,8239255
False,False,False,0,233,12241219,hyc46,I,False,273,200515659,12241219
False,False,False,127,316,15760392,비운의 미드 유저,I,False,360,201113417,15760392
False,False,False,129,150,26562566,gragas zz,I,False,197,204149210,26562566
False,False,False,239,425,38521152,Haemam,I,True,487,206439395,38521152
True,False,False,22,58,63930170,iotjeun01,I,False,87,209761295,63930170
False,False,False,74,597,4542720,JustLikeThat,I,True,635,3494294,4542720
True,False,False,0,421,8621508,IllIlIllIll,I,False,454,5897987,8621508
True,False,False,224,662,19615477,Seroum,I,False,705,202561023,19615477
False,True,False,216,555,55170797,Shivaree,I,True,620,208803177,55170797
False,False,False,13,314,8642728,BI BICK,I,False,354,5872641,8642728
False,False,False,160,366,1650519,Mocha1,I,False,416,824870,1650519
False,False,False,20,642,1095340,zx다크블레이드xz,I,True,675,238155,1095340
False,False,False,87,930,37330462,율천고 펀치라인,I,True,969,206280171,37330462
False,True,False,350,675,1113675,멜로디4,I,False,724,548226,1113675
False,False,False,18,341,1715003,S H MA,I,False,381,436251,1715003
False,False,False,57,83,10042590,You are 300 cash,I,False,124,7007312,10042590
False,True,False,357,426,40940806,NSG Young,I,False,476,206869329,40940806
True,False,False,0,144,12572280,챌찍고배그,I,False,220,200616442,12572280
False,False,False,123,1053,35010825,JJJgplZZZ,I,True,1121,205942124,35010825
True,False,False,2,221,53150257,항 티모띠,I,False,301,208489143,53150257
False,False,False,0,616,18351466,dpvhzm,I,False,660,201892460,18351466
False,False,False,97,426,8271480,light11111,I,False,570,5657517,8271480
False,False,False,71,317,9247770,꾸후루후루루,I,True,374,6542649,9247770
True,False,False,35,535,21200124,CJE Soul,I,False,570,201779570,21200124
True,False,False,361,599,50270654,Flaycid,I,False,674,208162609,50270654
True,False,False,0,83,62400271,krasasasasasasa,I,False,129,209624643,62400271
True,False,False,8,159,46190126,dusanddl,I,False,189,207718146,46190126
False,True,False,310,417,2156510,VeryBitter,I,False,517,1638311,2156510
False,False,False,176,287,55061581,퍼플팀 에아에아,I,False,393,208826454,55061581
False,False,False,141,680,1296600,Papoillon,I,False,714,916583,1296600
True,False,False,0,337,12201469,만덕아,I,False,366,200521469,12201469
True,False,False,0,392,55272069,미드노스펠갱와,I,False,442,207998683,55272069
True,False,False,16,337,4134517,WeiLing,I,False,384,3325510,4134517
True,False,False,17,704,1940491,D AND AN DAN,I,False,738,1409848,1940491
False,True,False,219,678,31301623,나라카일,I,True,727,205167316,31301623
True,False,False,46,245,44320436,킹갓엠페러무진,I,False,313,207501719,44320436
False,True,False,203,399,6881506,yz0726,I,False,448,4876431,6881506
True,False,False,2,359,6112582,Peecaboo,I,False,457,4699649,6112582
False,False,False,312,803,8361277,Cheers,I,False,854,5597834,8361277
True,False,False,13,230,9675098,김치무말랭이,I,False,283,6766338,9675098
False,False,False,46,774,54904131,m1nit,I,False,842,208746217,54904131
True,False,False,0,233,8530195,엣토니,I,False,277,5827555,8530195
True,False,False,18,1125,9025807,끝까지열심히함,I,False,1159,6316690,9025807
False,False,False,217,736,1344293,Ummeeee,I,True,780,885428,1344293
True,True,False,0,6,32860310,영유종호,I,False,40,205557447,32860310
False,True,False,57,508,45061579,고양이못함,I,False,621,207596965,45061579
True,True,False,0,658,49200617,Shillan,I,False,706,208057398,49200617
False,False,False,253,897,17840534,소년은 이제 없다,I,True,951,201582404,17840534
True,False,False,0,48,22971662,MEEEEEEEEE,I,False,105,203164826,22971662
False,False,False,27,199,48570621,jh414,I,False,251,207990919,48570621
False,False,False,103,521,20200762,Second Chance,I,True,559,202583967,20200762
True,False,False,77,231,1175092,S2정글초보S2,I,False,280,758197,1175092
True,True,False,30,68,29760511,Ums4,I,False,104,204725181,29760511
True,False,False,0,200,1434432,박진성,I,False,251,1027665,1434432
False,False,False,45,214,35781726,비트는기리보이,I,False,268,206097095,35781726
False,False,False,139,334,34790499,다시 올라서다,I,True,391,205878819,34790499
True,False,False,20,605,17657097,군인하고싶어요,I,False,684,201539889,17657097
True,False,False,19,477,12230581,탈무드인간 ,I,False,560,200500389,12230581
False,True,False,216,572,29301571,응암동불주먹,I,True,623,204668812,29301571
False,False,False,225,244,3486582,감자갓,I,False,286,2701749,3486582
False,True,False,61,75,9344052,핑크색사과,I,False,139,4080219,9344052
False,False,False,144,351,5186475,Jisu2,I,False,400,3668847,5186475
True,False,False,0,434,1532936,아재3,I,False,467,380092,1532936
False,True,False,63,415,32094586,sen Haksal,I,False,475,205446910,32094586
False,True,False,58,184,9143363,강남1번원딜,I,False,233,6274737,9143363
False,False,False,87,1017,2029599,XuanXuanPi,I,True,1060,1543417,2029599
True,True,False,103,821,10393044,시공 여행자,I,False,894,7256651,10393044
False,False,False,102,109,39180949,섹지드,I,False,160,206559116,39180949
